x y
0 160
2 158
4 157
6 156
8 155
10 154.5
12 153.5
14 152.5
16 151
18 149.5
20 148
22 146.5
24 144
26 142
28 141
30 138
32 136
34 133
36 129
38 126
40 122
42 117
44 111
46 105
48 100
50 94
52 88
54 83
56 78
58 73
60 69
62 65
64 61.5
66 57
68 53
70 50
72 47
74 44.5
76 42
78 40
80 38
82 36
84 34
86 32.5
88 31
90 30
92 28.5
94 27
96 26
98 25
100 24
102 23
104 22
106 21
108 20.5
110 19.5
112 19
114 18.5
116 18
118 17.5
120 17
122 16.5
124 16
126 16.5
128 16.5
130 17
132 17.5
134 18
136 19
138 19.5
140 20.5
142 21
144 22
146 23
147 24.5
148 26
150 27
152 28
154 30
156 31.5
158 33
160 34.5
162 36
164 37.5
166 38.5
168 39
170 40
172 40.5
174 41
176 41
178 40.5
180 40.5
182 40
184 39.5
186 39
188 38
190 37.5
192 36.5
194 35.5
196 35
198 33.5
200 32
202 31
204 30
206 29
208 27.5
210 26
212 25
214 23
216 22
218 20
220 19
222 18
224 16
226 14.5
228 13
230 11
232 10
234 9
236 8
238 7.5
240 7
242 6.5
244 7
246 7
248 7.5
250 8
252 9.5
254 12
256 17
258 30
260 47
262 76
264 94
266 103
268 109
270 115
272 120
274 124
276 130
278 135
280 141
282 148
284 158
285 163
